Chemical.Name,CAS_CHEMBL_ID,DTXSID,Dataset,Assay_Type,PubMed_CHEMBL_Doc_Ref,Mol_Structure,Hepatic_Clearance,Units,logD_used,Kilford.factor,Fu_assay,Clearance.Adj,Bin,Bin3.Adj,Predicted_Bin3,Outlier,Assessment,nAromBond,AATS5v,AATS1i,AATS5i,ATSC2c,ATSC6c,ATSC3m,ATSC3e,AATSC0c,AATSC0v,MATS1c,MATS8c,GATS5c,GATS1e,GATS5e,BCUTc.1l,BCUTp.1l,BCUTp.1h,nBondsM,SpMin2_Bhm,SpMax2_Bhp,CrippenLogP,minHaaCH,minaaCH,IC1,ZMIC1,ZMIC2,MLFER_BH,piPC8,R_TpiPCTPC,JGI3,XLogP,LogP_pred,MP_pred,LogVP_pred,LogWS_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogBCF_pred,Unnamed: 58,SMILES,label,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
-,CHEMBL1632241,-,ChEMBL,Microsomal,22856541,O(c1c(cc(cc1C)\C=C\C#N)C)c1cc(Nc2ccc(cc2)C#N)c(N)cc1[N+](=O)[O-],5.981482684,uL/min*10^6cells,2.454078131,1.0,0.771299852,7.755067845,2.0,2.0,2.0,0.0,1.0,1.370714644,0.946804565,0.112611709,0.824721614,0.622690649,0.086435546,0.330870672,0.167764615,0.222895323,0.410330371,0.554852009,0.06048579,0.847834937,1.005345584,0.8968063,0.427937128,0.882698279,0.400569293,1.613311862,0.831119183,0.671769361,1.556857302,0.913634466,0.311450003,0.882579172,0.520368508,0.213740048,0.060526912,0.746276752,0.917999286,0.542689949,1.018755532,0.703573789,0.801334336,0.64845125,0.121079761,0.709052054,0.11438632,0.401116946,0.00724343,,O(c1c(cc(cc1C)\C=C\C#N)C)c1cc(Nc2ccc(cc2)C#N)c(N)cc1[N+](=O)[O-],1.7886851958217538,,,,,,,,,,,,,,,,,
-,CHEMBL1683876,-,ChEMBL,Microsomal,20667729,Clc1cc(ccc1Cl)C1(CCCCC1)CN(CC)CC,8.104631602,uL/min*10^6cells,1.536248473,1.0,0.877013063,9.241175465,2.0,2.0,3.0,0.0,1.0,0.119783241,0.783958823,0.647545244,0.074223108,0.646999988,0.082332094,1.761885792,0.717994234,1.398062762,1.263637989,2.068905694,0.405375327,0.131736879,0.857780187,1.274904276,0.679291756,1.174401201,1.25271086,0.695026148,0.173942333,0.346036869,1.221135917,0.111187643,1.773651055,1.275112375,0.044068253,0.364037944,0.828532481,0.307095087,0.712385723,0.492149018,1.435180287,0.523853277,0.726021688,1.208876579,0.925754546,1.271858165,0.351999972,0.208276243,1.642391656,,Clc1cc(ccc1Cl)C1(CCCCC1)CN(CC)CC,2.0924480395251948,,,,,,,,,,,,,,,,,
-,CHEMBL2159209,-,ChEMBL,Hepatic Cells,CHEMBL2157937,OC1CCC(n2c3c4cc[nH]c4ncc3nc2C)CC1,2.8875,uL/min*10^6cells,2.622070808,0.625,0.820299396,3.52005623,1.0,1.0,1.0,0.0,,0.873882015,0.053365088,0.441102755,0.327435322,0.297927049,0.577506708,0.261924542,0.468275927,0.150296244,0.060585987,0.284123785,1.041232232,1.36735317,1.176226328,1.189500341,1.129029058,0.125304924,0.260746965,0.459142857,0.263601101,0.137010044,0.267196258,0.793188068,1.044326754,0.510308541,1.065608498,0.933859455,0.134884298,1.032946385,1.857319444,0.088380754,0.677155684,0.240797875,0.7375253,1.034447565,1.330088942,0.065598291,0.199750179,0.45294426,1.157761883,,OC1CCC(n2c3c4cc[nH]c4ncc3nc2C)CC1,1.0604257072828691,,,,,,,,,,,,,,,,,
"1-(4-Benzoyl-2-methylpiperazin-1-yl)-2-(1H-pyrrolo[2,3-b]pyridin-3-yl)ethane-1,2-dione",CHEMBL442078,DTXSID50957136,ChEMBL,Microsomal,,O=C(C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1)c1c2cccnc2[nH]c1,0.09545455,uL/min*10^6cells,2.095477548,1.0,0.823677384,0.115888274,1.0,1.0,3.0,0.0,,1.122298329,0.019525407,0.072540401,0.044681177,0.687400374,0.231952491,0.635973406,1.088203285,0.017559863,0.127377039,0.228743965,0.132025612,0.479624053,0.59697282,1.420446399,0.942830344,0.800967128,0.458904124,1.180498485,0.514041958,0.519758578,0.978004713,0.697376305,0.654821298,0.356908322,0.385592939,0.054405735,1.544530371,0.533232907,0.053050983,0.120401579,0.146126631,0.608933856,0.790458704,0.286925271,0.410014924,0.014142687,0.067833109,0.488206481,0.698854037,,O=C(C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1)c1c2cccnc2[nH]c1,-2.348057990381987,,,,,,,,,,,,,,,,,
-,CHEMBL2147093,-,ChEMBL,Microsomal,,O1N=C(CC1c1ccc(N2CCOCC2)cc1)c1oc([N+](=O)[O-])cc1,1.693548355,uL/min*10^6cells,2.151517778,1.0,0.816582134,2.073947351,1.0,1.0,2.0,0.0,1.0,0.501257544,0.426547412,0.339258922,0.091807346,1.487170367,0.614351338,0.074600723,0.711953424,0.073829609,0.577851474,1.534638706,1.046696663,1.22128414,1.035097644,1.051280401,0.838310487,1.491477927,0.845062669,0.314871732,0.427547909,0.211155198,0.425775179,0.741956486,0.404442537,0.616272683,0.408486936,0.409740552,0.038219696,0.333895173,0.130076912,1.678657439,0.000906051,0.572079496,0.468216961,0.014803172,0.58319645,0.098267739,0.039356806,0.006100409,0.316615595,,O1N=C(CC1c1ccc(N2CCOCC2)cc1)c1oc([N+](=O)[O-])cc1,0.5268849920369753,,,,,,,,,,,,,,,,,
-,CHEMBL176282,-,ChEMBL,Microsomal,21236687,O1Cc2c(N(C3CCN(CC3)CC(=O)Nc3cc4c5c(n(c4cc3)CC)cccc5)C1=O)cc(cc2)C,3.281250043,uL/min*10^6cells,3.54918415,1.0,0.489203519,6.70733123,1.0,2.0,3.0,0.0,1.0,1.743339115,0.069878758,0.32859288,0.360649332,0.672724308,0.310588813,0.03027522,0.162354827,0.571304565,0.351226347,0.642689401,1.194815584,0.496473819,0.09062485,0.948490127,0.692431345,0.134945754,0.018203688,1.757582988,1.108898034,0.789735322,1.664235267,0.556237868,1.219300587,0.303652183,1.271020039,0.108456348,0.487593245,1.173560847,0.986254991,0.242238123,1.539915896,1.521557845,0.1091916,0.674246324,0.780856419,0.240237504,0.670853886,0.232946339,0.362500515,,O1Cc2c(N(C3CCN(CC3)CC(=O)Nc3cc4c5c(n(c4cc3)CC)cccc5)C1=O)cc(cc2)C,1.188254936188246,,,,,,,,,,,,,,,,,
-,CHEMBL1085082,-,ChEMBL,Microsomal,20329799,Clc1cc2c(cc1NC(=O)C1CCNCC1)C=CNC2=O,1.266756017,uL/min*10^6cells,1.671726093,1.0,0.866630713,1.461702197,1.0,1.0,2.0,0.0,1.0,0.119783241,0.009601407,0.343367776,0.369997317,0.243112032,0.402382894,0.736753938,0.007267154,0.109551485,0.162902543,0.188801881,1.177057844,0.204819747,0.317225371,0.213372139,0.405952891,0.219775882,0.217362785,0.262212771,0.526771123,0.286483143,1.122983673,0.834527115,1.112758996,0.826958283,0.903127104,0.781385129,0.196537193,0.237916275,0.139344396,0.696719418,0.944030073,0.900330234,0.518789045,0.974145651,0.221649583,0.323955317,0.283158326,0.318104121,0.395500703,,Clc1cc2c(cc1NC(=O)C1CCNCC1)C=CNC2=O,0.2365382539974096,,,,,,,,,,,,,,,,,
-,CHEMBL2332073,-,ChEMBL,Microsomal,,O(C)c1cc(ccc1)CN(CCN1CCCCC1)C(=O)Nc1ccc(cc1)-c1cn[nH]c1,25.81967273,uL/min*10^6cells,3.712803846,1.0,0.434031195,59.48805764,4.0,3.0,3.0,0.0,,1.370714644,0.609992956,0.351711906,0.363847821,0.036933468,1.287087317,0.415660296,0.208249711,0.604927152,0.226482231,0.294989332,0.584512258,0.022927112,0.267001136,0.193526686,0.754119053,0.059855769,0.179523142,1.180498485,0.807229779,0.510906341,0.281597431,0.641746018,0.969631721,0.380980511,0.529210687,0.303377923,0.437667572,0.51473296,0.161572401,1.579471833,0.613408581,0.491955661,0.734598693,0.593488661,0.564175925,0.809152767,0.753995657,0.212025427,0.43051418,,O(C)c1cc(ccc1)CN(CCN1CCCCC1)C(=O)Nc1ccc(cc1)-c1cn[nH]c1,3.251140583288356,,,,,,,,,,,,,,,,,
-,CHEMBL2325499,-,ChEMBL,Microsomal,22974325,Clc1ccccc1-n1c(nnc1CCc1oc(nn1)-c1ccc(cc1)C)-c1ccncc1,40.38461472,uL/min*10^6cells,4.89796447,1.0,0.105256929,383.6765426,4.0,3.0,3.0,0.0,1.0,2.985420686,1.2654118,0.184399703,0.095635704,0.139617347,0.100209295,0.297330392,0.26689449,0.80703295,0.152703363,0.611204221,1.095651756,0.369981295,0.486044179,0.058732617,0.259938889,1.306375581,0.659587885,2.911751993,1.068426451,0.924313488,1.876241274,0.654567255,0.956435572,0.373313887,1.027722768,0.10347822,0.758466579,1.174315203,2.608588787,1.026258761,2.39290687,1.304413909,0.572374952,0.516425224,0.925304736,1.287567663,1.356223601,0.216114811,1.017135321,,Clc1ccccc1-n1c(nnc1CCc1oc(nn1)-c1ccc(cc1)C)-c1ccncc1,3.698451364860395,,,,,,,,,,,,,,,,,
-,CHEMBL2012899,-,ChEMBL,Microsomal,21696174,Fc1cc(ccc1Nc1n(c2c(CCCC2=O)c1C(=O)NOCCO)C)C#C,8.333333333,uL/min*10^6cells,1.981887489,1.0,0.836958676,9.956684334,2.0,3.0,3.0,0.0,,0.501257544,0.453223953,0.475327382,0.052363958,1.537247894,0.444888054,0.772620932,1.135068903,0.654160383,0.340922692,0.770583924,0.834029512,0.440046777,0.374264895,0.208175266,1.152635553,1.155386024,0.205103964,0.459142857,0.500056208,0.532868012,0.289164467,1.133226274,0.265665345,1.560658641,0.781607021,0.761043323,0.669237716,0.557481646,0.147954737,0.844667877,0.397189343,0.503207301,0.117739105,0.48249814,0.314404614,0.062514999,0.125552802,0.529086246,0.110627982,,Fc1cc(ccc1Nc1n(c2c(CCCC2=O)c1C(=O)NOCCO)C)C#C,2.120275536088092,,,,,,,,,,,,,,,,,
