Chemical.Name,CAS_CHEMBL_ID,DTXSID,Dataset,Assay_Type,PubMed_CHEMBL_Doc_Ref,Mol_Structure,Hepatic_Clearance,Units,logD_used,Kilford.factor,Fu_assay,Clearance.Adj,Bin,Bin3.Adj,Predicted_Bin3,Outlier,Assessment,nAromBond,AATS5v,AATS1i,AATS5i,ATSC2c,ATSC6c,ATSC3m,ATSC3e,AATSC0c,AATSC0v,MATS1c,MATS8c,GATS5c,GATS1e,GATS5e,BCUTc.1l,BCUTp.1l,BCUTp.1h,nBondsM,SpMin2_Bhm,SpMax2_Bhp,CrippenLogP,minHaaCH,minaaCH,IC1,ZMIC1,ZMIC2,MLFER_BH,piPC8,R_TpiPCTPC,JGI3,XLogP,LogP_pred,MP_pred,LogVP_pred,LogWS_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogBCF_pred,Unnamed: 58,SMILES,label,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
-,CHEMBL1076264,-,ChEMBL,Microsomal,19674898,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,14.18918918,uL/min*10^6cells,-0.044018095,1.0,0.930808813,15.24393515,3.0,3.0,2.0,0.0,,0.625465701,0.726340454,0.470860058,0.375055162,1.290175524,0.297167691,0.230678965,2.007186411,0.097572612,0.050121212,0.326205225,0.698734163,1.205723694,1.181619499,0.053472148,0.545465787,0.863991,1.093751213,1.180498485,0.635711466,1.115045215,0.508569007,0.929652535,0.309528392,1.469088584,0.624522801,0.204839993,2.027853378,0.886767906,0.322465902,0.265964888,0.042901632,0.191638773,0.45188517,0.651437678,0.349008486,0.167915436,1.154997193,1.478698773,0.995619696,,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,2.652487396893998,,,,,,,,,,,,,,,,,
-,CHEMBL1076304,-,ChEMBL,Microsomal,19804969,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@@H]3CC[C@H]2C3)C=1O)CC1CCCCC1)C,18.9,uL/min*10^6cells,-0.531607492,1.0,0.932633935,20.26518583,3.0,3.0,2.0,0.0,,0.119783241,0.275181934,0.454558422,0.198418415,1.250481784,0.611026127,0.900297196,0.670880259,0.214099171,0.303827716,0.361656267,0.694639827,1.4850385,1.186343513,0.328464621,0.54538791,1.838430136,1.094145281,0.314871732,0.70883496,1.112459092,0.870548732,1.02594645,0.371126243,0.537657428,0.986011658,0.68325535,1.992799182,0.81572828,0.461906403,0.31497431,0.149147851,0.100430723,0.47378212,0.652472224,1.059299891,2.32934548,1.402761044,1.478180576,0.986272219,,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@@H]3CC[C@H]2C3)C=1O)CC1CCCCC1)C,2.93916721305689,,,,,,,,,,,,,,,,,
-,CHEMBL1076346,-,ChEMBL,Microsomal,19674898,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CC1CCCCC1)C,6.446111688,uL/min*10^6cells,-0.531607492,1.0,0.932633935,6.911727579,2.0,2.0,2.0,0.0,1.0,0.119783241,0.275181934,0.454558422,0.198418415,1.250481784,0.611026127,0.900297196,0.670880259,0.214099171,0.303827716,0.361656267,0.694639827,1.4850385,1.186343513,0.328464621,0.54538791,1.838430136,1.094145281,0.314871732,0.70883496,1.112459092,0.870548732,1.02594645,0.371126243,0.537657428,0.986011658,0.68325535,1.992799182,0.81572828,0.461906403,0.31497431,0.149147851,0.100430723,0.47378212,0.652472224,1.059299891,2.32934548,1.402761044,1.478180576,0.986272219,,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CC1CCCCC1)C,1.8634926230650017,,,,,,,,,,,,,,,,,
-,CHEMBL1077200,-,ChEMBL,Microsomal,19647430,O1CC(Cc2cc(ccc12)C(=O)NCCCN(C)C)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,2.829341342,uL/min*10^6cells,-0.050977431,1.0,0.930870875,3.039456297,1.0,1.0,2.0,0.0,1.0,1.991755429,0.009561583,0.545244854,0.339301445,0.91768527,0.487899675,0.392352496,0.750387964,0.154185651,0.013881824,0.461152264,0.405109278,0.332986483,0.743183173,0.527719936,0.675506397,0.419775597,0.419788935,1.901854114,1.073849238,0.790726169,0.168096054,0.865258968,0.80551555,1.076794742,0.22437725,0.522417822,1.485044462,1.172272044,1.703040023,1.196615172,0.103123978,0.416512771,0.8105187,0.663841664,0.485670308,2.083881844,1.158533513,0.087935058,0.472537078,,O1CC(Cc2cc(ccc12)C(=O)NCCCN(C)C)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,1.0400792865143755,,,,,,,,,,,,,,,,,
-,CHEMBL1077334,-,ChEMBL,Microsomal,19674898,o1cc(cc1)-c1nc2cc(ccc2n1C1CCCCC1)C(=O)NC1(CCCC1)C(=O)Nc1ccc(cc1)\C=C\C(O)=O,3.691406147,uL/min*10^6cells,4.940875811,1.0,0.098256659,37.5690176,2.0,3.0,3.0,0.0,1.0,1.867547272,0.641797673,0.397592551,0.501462792,0.995737215,0.033585252,0.492163569,0.119725633,0.126334721,0.169825382,0.643684882,0.698873578,0.370210621,0.06770932,0.134820165,0.634255603,1.036992755,0.532412875,2.190396365,0.866457797,0.651846955,2.439246018,0.842630259,0.805932644,0.698942051,1.756047848,1.011803588,0.705354161,1.241684722,1.227562853,0.787911012,1.520277969,1.681594415,0.394484416,0.459867607,0.459313561,0.903168937,1.378028586,0.338181755,0.830118495,,o1cc(cc1)-c1nc2cc(ccc2n1C1CCCCC1)C(=O)NC1(CCCC1)C(=O)Nc1ccc(cc1)\C=C\C(O)=O,1.3060345446924542,,,,,,,,,,,,,,,,,
-,CHEMBL1077335,-,ChEMBL,Microsomal,19647430,OC(=O)\C=C\c1ccc(NC(=O)C2(NC(=O)c3cc4nc(n(c4cc3)C3CCCCC3)-c3ncccc3)CCCC2)cc1,4.218750087,uL/min*10^6cells,4.128532234,1.0,0.295254539,14.288519,2.0,3.0,3.0,0.0,,1.991755429,0.635464757,0.369923817,0.381830361,0.869277719,0.238855841,0.707544069,0.546566808,0.336636412,0.208577858,0.880587352,1.207991251,0.068930556,0.187960974,0.171257519,0.165992963,1.036990935,0.597299863,2.33466749,0.867951112,0.651611307,2.315780065,0.750895238,0.896010814,0.571162938,2.135752577,1.071021946,0.819014736,1.267185734,1.384758474,0.752830153,1.906490529,1.428322604,0.613699075,0.45377462,0.506578062,0.076696346,0.965244029,0.332617649,0.8157646,,OC(=O)\C=C\c1ccc(NC(=O)C2(NC(=O)c3cc4nc(n(c4cc3)C3CCCCC3)-c3ncccc3)CCCC2)cc1,1.4395625996832113,,,,,,,,,,,,,,,,,
-,CHEMBL1079474,-,ChEMBL,Microsomal,22765237,S1[C@@H]2N([C@@H](C1)C#N)C(=O)[C@H](NC(OCc1ccccc1)=O)C2,2.118834156,uL/min*10^6cells,0.582118111,1.0,0.920321777,2.302275366,1.0,1.0,3.0,0.0,1.0,0.119783241,0.229297934,0.271869551,0.409476367,0.940904522,0.396125112,0.484431823,0.105022432,0.407812947,0.041285671,0.971902767,0.877762638,0.330943984,0.244272796,0.519862147,0.687879739,0.187848832,0.141734347,0.262212771,0.865251137,0.409411109,1.479906282,0.684994558,1.079499541,0.804330398,0.693801535,0.446043068,0.020203964,0.37520133,0.946393117,0.387283849,0.062337514,1.584694798,0.41763247,0.11842643,0.248648985,0.744438524,0.836832117,0.489925944,0.892487826,,S1[C@@H]2N([C@@H](C1)C#N)C(=O)[C@H](NC(OCc1ccccc1)=O)C2,0.7509132056556708,,,,,,,,,,,,,,,,,
-,CHEMBL1079753,-,ChEMBL,Microsomal,19846298,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(C3CC2CC3)C=1O)Cc1ccc(F)cc1)C,8.333333333,uL/min*10^6cells,-0.044018095,1.0,0.930808813,8.952787314,2.0,2.0,2.0,0.0,1.0,0.625465701,0.726340454,0.470860058,0.375055162,1.290175524,0.297167691,0.230678965,2.007186411,0.097572612,0.050121212,0.326205225,0.698734163,1.205723694,1.181619499,0.053472148,0.545465787,0.863991,1.093751213,1.180498485,0.635711466,1.115045215,0.508569007,0.929652535,0.309528392,1.469088584,0.624522801,0.204839993,2.027853378,0.886767906,0.322465902,0.265964888,0.042901632,0.191638773,0.45188517,0.651437678,0.349008486,0.167915436,1.154997193,1.478698773,0.995619696,,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(C3CC2CC3)C=1O)Cc1ccc(F)cc1)C,2.120275536088092,,,,,,,,,,,,,,,,,
-,CHEMBL1079761,-,ChEMBL,Microsomal,20149651,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H](C3CCC2CC3)C=1O)CC(F)(F)F)C,47.25,uL/min*10^6cells,0.066070042,1.0,0.92968066,50.82390335,4.0,3.0,2.0,0.0,,0.119783241,0.39528541,0.193868432,0.29577176,1.309068788,2.194292245,0.05032518,1.265814466,0.64280416,0.45874567,0.527175308,1.905789596,0.755455417,1.117207966,0.201833726,0.545387264,1.362663542,1.087166554,0.314871732,0.625462922,1.102900306,0.479012006,1.180545273,0.172155524,1.405501376,0.405904295,0.715053328,1.861080384,0.796989273,0.417951531,0.671154433,0.077947149,0.237809609,0.535457745,0.716619254,1.080358253,0.124842967,1.099056968,0.907977767,0.872471038,,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H](C3CCC2CC3)C=1O)CC(F)(F)F)C,3.8554547703396285,,,,,,,,,,,,,,,,,
-,CHEMBL1079782,-,ChEMBL,Microsomal,19647430,s1c2cc(ccc2nc1C1Cc2c(OC1)cccc2)-c1nc(ncc1)N,6.034482684,uL/min*10^6cells,3.172953445,1.0,0.606860672,9.943769571,2.0,3.0,2.0,0.0,,1.991755429,0.811791681,0.678749072,0.954515614,0.844236974,0.099702815,0.139012587,0.397268926,0.456301583,0.222277359,0.854328484,0.120413161,0.881583398,0.778976352,0.927045897,0.674946692,0.852667865,0.674363447,1.757582988,1.000070063,0.653803688,0.806003476,0.573155277,0.871041109,0.623975352,0.141558526,0.525464058,0.072254134,1.134589034,2.216570893,1.382517438,0.594274191,0.23501678,0.083115684,0.406992675,0.644301507,0.186231224,0.47967588,0.159772104,0.252247592,,s1c2cc(ccc2nc1C1Cc2c(OC1)cccc2)-c1nc(ncc1)N,1.7975067028627973,,,,,,,,,,,,,,,,,
